source,destination,relationship
/concerns/hair-transplant/beard-transplant,/treatments/hair-restoration/fue-hair-transplant,related-treatment
/concerns/hair-transplant/beard-transplant,/knowledge/how-to-plan-hair-restoration,related-guide
/concerns/hair-transplant/beard-transplant,/hair-transplant-bhubaneswar,related-guide
/concerns/hair-transplant/donor-area-thinning,/concerns/hair-transplant,parent-category
/concerns/hair-transplant/donor-area-thinning,/treatments/hair-restoration/fue-hair-transplant,related-treatment
/concerns/hair-transplant/donor-area-thinning,/knowledge/how-to-plan-hair-restoration,related-guide
/concerns/hair-transplant/donor-area-thinning,/hair-transplant-bhubaneswar,related-guide
/concerns/hair-transplant/hairline-design,/concerns/hair-transplant,parent-category
/concerns/hair-transplant/hairline-design,/treatments/hair-restoration/fue-hair-transplant,related-treatment
/concerns/hair-transplant/hairline-design,/knowledge/how-to-plan-hair-restoration,related-guide
/concerns/hair-transplant/hairline-design,/hair-transplant-bhubaneswar,related-guide
/concerns/hair-transplant/graft-number-planning,/concerns/hair-transplant,parent-category
/concerns/hair-transplant/graft-number-planning,/treatments/hair-restoration/fue-hair-transplant,related-treatment
/concerns/hair-transplant/graft-number-planning,/knowledge/how-to-plan-hair-restoration,related-guide
/concerns/hair-transplant/graft-number-planning,/hair-transplant-bhubaneswar,related-guide
/concerns/hair-transplant/post-transplant-shedding,/concerns/hair-transplant,parent-category
/concerns/hair-transplant/post-transplant-shedding,/treatments/hair-restoration/fue-hair-transplant,related-treatment
/concerns/hair-transplant/post-transplant-shedding,/knowledge/how-to-plan-hair-restoration,related-guide
/concerns/hair-transplant/post-transplant-shedding,/hair-transplant-bhubaneswar,related-guide
/concerns/hair-transplant/post-transplant-shedding,/doctor-answers/shedding-after-hair-transplant,doctor-answer
/concerns/hair-transplant/post-transplant-shedding,/doctor-answers/when-transplanted-hair-start-growing,doctor-answer
/concerns/hair-transplant/shock-loss,/concerns/hair-transplant,parent-category
/concerns/hair-transplant/shock-loss,/treatments/hair-restoration/fue-hair-transplant,related-treatment
/concerns/hair-transplant/shock-loss,/knowledge/how-to-plan-hair-restoration,related-guide
/concerns/hair-transplant/shock-loss,/hair-transplant-bhubaneswar,related-guide
/concerns/hair-transplant/shock-loss,/doctor-answers/what-is-shock-loss,doctor-answer
/concerns/hair-transplant/hair-transplant-growth-timeline,/concerns/hair-transplant,parent-category
/concerns/hair-transplant/hair-transplant-growth-timeline,/treatments/hair-restoration/fue-hair-transplant,related-treatment
/concerns/hair-transplant/hair-transplant-growth-timeline,/knowledge/how-to-plan-hair-restoration,related-guide
/concerns/hair-transplant/hair-transplant-growth-timeline,/hair-transplant-bhubaneswar,related-guide
/concerns/hair-transplant/hair-transplant-growth-timeline,/doctor-answers/when-transplanted-hair-start-growing,doctor-answer
/concerns/acne/acne,/concerns/acne,parent-category
/concerns/acne/acne,/skin-clinic-bhubaneswar,related-treatment
/concerns/acne/acne,/treatments/skin-laser/acne-scar-revision,related-treatment
/concerns/acne/acne,/knowledge/skin-care-doctor-bhubaneswar,related-guide
/concerns/acne/closed-comedones,/concerns/acne,parent-category
/concerns/acne/closed-comedones,/skin-clinic-bhubaneswar,related-treatment
/concerns/acne/closed-comedones,/treatments/skin-laser/acne-scar-revision,related-treatment
/concerns/acne/closed-comedones,/knowledge/skin-care-doctor-bhubaneswar,related-guide
/concerns/acne/blackheads,/concerns/acne,parent-category
/concerns/acne/blackheads,/skin-clinic-bhubaneswar,related-treatment
/concerns/acne/blackheads,/treatments/skin-laser/acne-scar-revision,related-treatment
/concerns/acne/blackheads,/knowledge/skin-care-doctor-bhubaneswar,related-guide
/concerns/acne/inflammatory-acne,/concerns/acne,parent-category
/concerns/acne/inflammatory-acne,/skin-clinic-bhubaneswar,related-treatment
/concerns/acne/inflammatory-acne,/treatments/skin-laser/acne-scar-revision,related-treatment
/concerns/acne/inflammatory-acne,/knowledge/skin-care-doctor-bhubaneswar,related-guide
/concerns/acne/cystic-acne,/concerns/acne,parent-category
/concerns/acne/cystic-acne,/skin-clinic-bhubaneswar,related-treatment
/concerns/acne/cystic-acne,/treatments/skin-laser/acne-scar-revision,related-treatment
/concerns/acne/cystic-acne,/knowledge/skin-care-doctor-bhubaneswar,related-guide
/concerns/acne/hormonal-acne,/concerns/acne,parent-category
/concerns/acne/hormonal-acne,/skin-clinic-bhubaneswar,related-treatment
/concerns/acne/hormonal-acne,/treatments/skin-laser/acne-scar-revision,related-treatment
/concerns/acne/hormonal-acne,/knowledge/skin-care-doctor-bhubaneswar,related-guide
/concerns/acne/adult-acne,/concerns/acne,parent-category
/concerns/acne/adult-acne,/skin-clinic-bhubaneswar,related-treatment
/concerns/acne/adult-acne,/treatments/skin-laser/acne-scar-revision,related-treatment
/concerns/acne/adult-acne,/knowledge/skin-care-doctor-bhubaneswar,related-guide
/concerns/acne/acne-purging-vs-breakout,/concerns/acne,parent-category
/concerns/acne/acne-purging-vs-breakout,/skin-clinic-bhubaneswar,related-treatment
/concerns/acne/acne-purging-vs-breakout,/treatments/skin-laser/acne-scar-revision,related-treatment
/concerns/acne/acne-purging-vs-breakout,/knowledge/skin-care-doctor-bhubaneswar,related-guide
/concerns/acne-scars/acne-scars,/concerns/acne-scars,parent-category
/concerns/acne-scars/acne-scars,/treatments/skin-laser/acne-scar-revision,related-treatment
/concerns/acne-scars/acne-scars,/acne-scar-treatment-bhubaneswar,related-guide
/concerns/acne-scars/ice-pick-scars,/concerns/acne-scars,parent-category
/concerns/acne-scars/ice-pick-scars,/treatments/skin-laser/acne-scar-revision,related-treatment
/concerns/acne-scars/ice-pick-scars,/acne-scar-treatment-bhubaneswar,related-guide
/concerns/acne-scars/boxcar-scars,/concerns/acne-scars,parent-category
/concerns/acne-scars/boxcar-scars,/treatments/skin-laser/acne-scar-revision,related-treatment
/concerns/acne-scars/boxcar-scars,/acne-scar-treatment-bhubaneswar,related-guide
/concerns/acne-scars/rolling-scars,/concerns/acne-scars,parent-category
/concerns/acne-scars/rolling-scars,/treatments/skin-laser/acne-scar-revision,related-treatment
/concerns/acne-scars/rolling-scars,/acne-scar-treatment-bhubaneswar,related-guide
/concerns/acne-scars/post-acne-red-marks,/concerns/acne-scars,parent-category
/concerns/acne-scars/post-acne-red-marks,/treatments/skin-laser/acne-scar-revision,related-treatment
/concerns/acne-scars/post-acne-red-marks,/acne-scar-treatment-bhubaneswar,related-guide
/concerns/acne-scars/post-inflammatory-hyperpigmentation,/concerns/acne-scars,parent-category
/concerns/acne-scars/post-inflammatory-hyperpigmentation,/treatments/skin-laser/acne-scar-revision,related-treatment
/concerns/acne-scars/post-inflammatory-hyperpigmentation,/acne-scar-treatment-bhubaneswar,related-guide
/concerns/acne-scars/deep-acne-scars,/concerns/acne-scars,parent-category
/concerns/acne-scars/deep-acne-scars,/treatments/skin-laser/acne-scar-revision,related-treatment
/concerns/acne-scars/deep-acne-scars,/acne-scar-treatment-bhubaneswar,related-guide
/concerns/pigmentation/pigmentation,/concerns/pigmentation,parent-category
/concerns/pigmentation/pigmentation,/treatments/skin-laser/laser-pigmentation-program,related-treatment
/concerns/pigmentation/pigmentation,/skin-clinic-bhubaneswar,related-treatment
/concerns/pigmentation/pigmentation,/pigmentation-treatment-bhubaneswar,related-guide
/concerns/pigmentation/melasma,/concerns/pigmentation,parent-category
/concerns/pigmentation/melasma,/treatments/skin-laser/laser-pigmentation-program,related-treatment
/concerns/pigmentation/melasma,/skin-clinic-bhubaneswar,related-treatment
/concerns/pigmentation/melasma,/pigmentation-treatment-bhubaneswar,related-guide
/concerns/pigmentation/sunspots,/concerns/pigmentation,parent-category
/concerns/pigmentation/sunspots,/treatments/skin-laser/laser-pigmentation-program,related-treatment
/concerns/pigmentation/sunspots,/skin-clinic-bhubaneswar,related-treatment
/concerns/pigmentation/sunspots,/pigmentation-treatment-bhubaneswar,related-guide
/concerns/pigmentation/uneven-skin-tone,/concerns/pigmentation,parent-category
/concerns/pigmentation/uneven-skin-tone,/treatments/skin-laser/laser-pigmentation-program,related-treatment
/concerns/pigmentation/uneven-skin-tone,/skin-clinic-bhubaneswar,related-treatment
/concerns/pigmentation/uneven-skin-tone,/pigmentation-treatment-bhubaneswar,related-guide
/concerns/pigmentation/tanning,/concerns/pigmentation,parent-category
/concerns/pigmentation/tanning,/treatments/skin-laser/laser-pigmentation-program,related-treatment
/concerns/pigmentation/tanning,/skin-clinic-bhubaneswar,related-treatment
/concerns/pigmentation/tanning,/pigmentation-treatment-bhubaneswar,related-guide
/concerns/pigmentation/lip-pigmentation,/concerns/pigmentation,parent-category
/concerns/pigmentation/lip-pigmentation,/treatments/skin-laser/laser-pigmentation-program,related-treatment
/concerns/pigmentation/lip-pigmentation,/skin-clinic-bhubaneswar,related-treatment
/concerns/pigmentation/lip-pigmentation,/pigmentation-treatment-bhubaneswar,related-guide
/concerns/pigmentation/under-eye-dark-circles,/concerns/pigmentation,parent-category
/concerns/pigmentation/under-eye-dark-circles,/treatments/skin-laser/laser-pigmentation-program,related-treatment
/concerns/pigmentation/under-eye-dark-circles,/skin-clinic-bhubaneswar,related-treatment
/concerns/pigmentation/under-eye-dark-circles,/pigmentation-treatment-bhubaneswar,related-guide
/concerns/skin-texture/enlarged-pores,/concerns/skin-texture,parent-category
/concerns/skin-texture/enlarged-pores,/skin-clinic-bhubaneswar,related-treatment
/concerns/skin-texture/enlarged-pores,/knowledge/best-skin-clinic-bhubaneswar,related-guide
/concerns/skin-texture/rough-skin-texture,/concerns/skin-texture,parent-category
/concerns/skin-texture/rough-skin-texture,/skin-clinic-bhubaneswar,related-treatment
/concerns/skin-texture/rough-skin-texture,/knowledge/best-skin-clinic-bhubaneswar,related-guide
/concerns/skin-texture/dull-skin,/concerns/skin-texture,parent-category
/concerns/skin-texture/dull-skin,/skin-clinic-bhubaneswar,related-treatment
/concerns/skin-texture/dull-skin,/knowledge/best-skin-clinic-bhubaneswar,related-guide
/concerns/skin-texture/fine-lines,/concerns/skin-texture,parent-category
/concerns/skin-texture/fine-lines,/skin-clinic-bhubaneswar,related-treatment
/concerns/skin-texture/fine-lines,/knowledge/best-skin-clinic-bhubaneswar,related-guide
/concerns/skin-texture/dehydrated-skin,/concerns/skin-texture,parent-category
/concerns/skin-texture/dehydrated-skin,/skin-clinic-bhubaneswar,related-treatment
/concerns/skin-texture/dehydrated-skin,/knowledge/best-skin-clinic-bhubaneswar,related-guide
/concerns/aging-aesthetics/skin-laxity,/concerns/aging-aesthetics,parent-category
/concerns/aging-aesthetics/skin-laxity,/treatments/aesthetic-dermatology/injectable-aesthetics,related-treatment
/concerns/aging-aesthetics/skin-laxity,/knowledge/premium-aesthetic-consultation,related-guide
/concerns/aging-aesthetics/facial-volume-loss,/concerns/aging-aesthetics,parent-category
/concerns/aging-aesthetics/facial-volume-loss,/treatments/aesthetic-dermatology/injectable-aesthetics,related-treatment
/concerns/aging-aesthetics/facial-volume-loss,/knowledge/premium-aesthetic-consultation,related-guide
/concerns/aging-aesthetics/forehead-lines,/concerns/aging-aesthetics,parent-category
/concerns/aging-aesthetics/forehead-lines,/treatments/aesthetic-dermatology/injectable-aesthetics,related-treatment
/concerns/aging-aesthetics/forehead-lines,/knowledge/premium-aesthetic-consultation,related-guide
/concerns/aging-aesthetics/under-eye-bags,/concerns/aging-aesthetics,parent-category
/concerns/aging-aesthetics/under-eye-bags,/treatments/aesthetic-dermatology/injectable-aesthetics,related-treatment
/concerns/aging-aesthetics/under-eye-bags,/knowledge/premium-aesthetic-consultation,related-guide
/concerns/laser-hair-reduction/unwanted-facial-hair,/concerns/laser-hair-reduction,parent-category
/concerns/laser-hair-reduction/unwanted-facial-hair,/treatments/skin-laser/laser-hair-reduction,related-treatment
/concerns/laser-hair-reduction/unwanted-facial-hair,/knowledge/laser-skin-treatments-safety,related-guide
/concerns/laser-hair-reduction/unwanted-facial-hair,/laser-hair-removal-bhubaneswar,related-guide
/concerns/laser-hair-reduction/ingrown-hair,/concerns/laser-hair-reduction,parent-category
/concerns/laser-hair-reduction/ingrown-hair,/treatments/skin-laser/laser-hair-reduction,related-treatment
/concerns/laser-hair-reduction/ingrown-hair,/knowledge/laser-skin-treatments-safety,related-guide
/concerns/laser-hair-reduction/ingrown-hair,/laser-hair-removal-bhubaneswar,related-guide
/concerns/laser-hair-reduction/strawberry-legs,/concerns/laser-hair-reduction,parent-category
/concerns/laser-hair-reduction/strawberry-legs,/treatments/skin-laser/laser-hair-reduction,related-treatment
/concerns/laser-hair-reduction/strawberry-legs,/knowledge/laser-skin-treatments-safety,related-guide
/concerns/laser-hair-reduction/strawberry-legs,/laser-hair-removal-bhubaneswar,related-guide
/concerns/laser-hair-reduction/laser-hair-reduction-suitability,/concerns/laser-hair-reduction,parent-category
/concerns/laser-hair-reduction/laser-hair-reduction-suitability,/treatments/skin-laser/laser-hair-reduction,related-treatment
/concerns/laser-hair-reduction/laser-hair-reduction-suitability,/knowledge/laser-skin-treatments-safety,related-guide
/concerns/laser-hair-reduction/laser-hair-reduction-suitability,/laser-hair-removal-bhubaneswar,related-guide
/concerns/laser-hair-reduction/laser-hair-removal-dark-skin,/concerns/laser-hair-reduction,parent-category
/concerns/laser-hair-reduction/laser-hair-removal-dark-skin,/treatments/skin-laser/laser-hair-reduction,related-treatment
/concerns/laser-hair-reduction/laser-hair-removal-dark-skin,/knowledge/laser-skin-treatments-safety,related-guide
/concerns/laser-hair-reduction/laser-hair-removal-dark-skin,/laser-hair-removal-bhubaneswar,related-guide
/concerns/scars-stretch-marks/stretch-marks,/concerns/scars-stretch-marks,parent-category
/concerns/scars-stretch-marks/stretch-marks,/skin-clinic-bhubaneswar,related-treatment
/concerns/scars-stretch-marks/stretch-marks,/knowledge/laser-skin-treatments-safety,related-guide
/concerns/scars-stretch-marks/surgical-scars,/concerns/scars-stretch-marks,parent-category
/concerns/scars-stretch-marks/surgical-scars,/skin-clinic-bhubaneswar,related-treatment
/concerns/scars-stretch-marks/surgical-scars,/knowledge/laser-skin-treatments-safety,related-guide
/concerns/scars-stretch-marks/traumatic-scars,/concerns/scars-stretch-marks,parent-category
/concerns/scars-stretch-marks/traumatic-scars,/skin-clinic-bhubaneswar,related-treatment
/concerns/scars-stretch-marks/traumatic-scars,/knowledge/laser-skin-treatments-safety,related-guide
/concerns/scars-stretch-marks/raised-scars-keloids,/concerns/scars-stretch-marks,parent-category
/concerns/scars-stretch-marks/raised-scars-keloids,/skin-clinic-bhubaneswar,related-treatment
/concerns/scars-stretch-marks/raised-scars-keloids,/knowledge/laser-skin-treatments-safety,related-guide
/concerns/other-skin-concerns/moles-and-warts,/concerns/other-skin-concerns,parent-category
/concerns/other-skin-concerns/moles-and-warts,/skin-clinic-bhubaneswar,related-treatment
/concerns/other-skin-concerns/moles-and-warts,/knowledge/skin-care-doctor-bhubaneswar,related-guide
/concerns/other-skin-concerns/rosacea-redness,/concerns/other-skin-concerns,parent-category
/concerns/other-skin-concerns/rosacea-redness,/skin-clinic-bhubaneswar,related-treatment
/concerns/other-skin-concerns/rosacea-redness,/knowledge/skin-care-doctor-bhubaneswar,related-guide
/concerns/other-skin-concerns/excessive-sweating,/concerns/other-skin-concerns,parent-category
/concerns/other-skin-concerns/excessive-sweating,/skin-clinic-bhubaneswar,related-treatment
/concerns/other-skin-concerns/excessive-sweating,/knowledge/skin-care-doctor-bhubaneswar,related-guide
